0,1,2,3,4,5,6,7,8
CNN,16,64,16,0.001,0.14118278171703413,4.304080940488684,13.033677603257507,3.421419369410378
CNN,16,64,16,0.01,0.12028334939001595,4.356136344098175,13.191312498496377,3.466918208773537
CNN,16,64,32,0.0001,-0.322801786,5.341674800431009,16.175733721763567,4.31460616970828
CNN,16,64,32,0.001,0.09225302789208911,4.424991724916485,13.399821317741187,3.5214084767329092
CNN,16,64,32,0.01,0.1384246149757552,4.310986866706577,13.054590224818405,3.432642484618578
CNN,16,64,64,0.0001,-0.567450215,5.814694957983741,17.608139923837545,4.572618165341187
CNN,16,64,64,0.001,0.14824728548512867,4.286342018222981,12.979960352806783,3.4182315945857717
CNN,16,64,64,0.01,0.17141511884053529,4.227645474426878,12.802214664739628,3.3704337128026265
CNN,32,16,16,0.0001,-0.429562129,5.553049894212249,16.815822712606337,4.511530266239866
CNN,32,16,16,0.001,0.11843842100553992,4.360701763175108,13.205137563869277,3.453958172768478
CNN,32,16,16,0.01,0.14703035041384538,4.289402964210677,12.98922955190323,3.389621081751473
CNN,32,16,32,0.0001,-0.42418323,5.542593041166833,16.784157125173607,4.5014059188668085
CNN,32,16,32,0.001,0.12128030113981125,4.353667316800002,13.183835755785687,3.4484833247535485
CNN,32,16,32,0.01,0.13191578816064353,4.327240042212396,13.103808316322962,3.431363763368736
CNN,32,16,64,0.0001,-0.252231407,5.197234999390617,15.738339112817071,4.254191694372507
CNN,32,16,64,0.001,0.13185616360704677,4.327388648374156,13.104258327563231,3.425841277436001
CNN,32,16,64,0.01,0.1441337383901633,4.296680014304859,13.011266015933936,3.3997984572858546
CNN,32,32,16,0.0001,-0.403871593,5.502926998517055,16.664039864638173,4.388189800164283
CNN,32,32,16,0.001,0.1354596000246151,4.318398384341936,13.077033885322416,3.44528237684958
CNN,32,32,16,0.01,0.14838456589690474,4.2859965808095755,12.978914294440159,3.4340041581495324
CNN,32,32,32,0.0001,-0.270657805,5.235333624742496,15.853709898550317,4.272701055834094
CNN,32,32,32,0.001,0.14718312881323903,4.289018801968384,12.98806622647264,3.415519171872058
CNN,32,32,32,0.01,0.16562566337595597,4.242389383253247,12.846862373951366,3.391063056913884
CNN,32,32,64,0.0001,-0.225040339,5.140498695546131,15.566529450560687,4.122022245009119
CNN,32,32,64,0.001,0.12366058332838259,4.34776669563692,13.16596741293574,3.4505256734561276
CNN,32,32,64,0.01,0.039323935839406854,4.55217074539101,13.784946591564411,3.6367231651816176
CNN,32,64,16,0.0001,-0.242349864,5.176688310430697,15.676119344318105,4.1753408482034216
CNN,32,64,16,0.001,0.14884522519635368,4.284837224618091,12.975403515940384,3.3875709421088622
CNN,32,64,16,0.01,0.16276755681541633,4.249649215309054,12.868846698079443,3.335157361152114
CNN,32,64,32,0.0001,-0.384809767,5.465439828757858,16.55052069721181,4.334482815773962
CNN,32,64,32,0.001,0.15167717909099288,4.277703051100193,12.95379971273974,3.3850299773575228
CNN,32,64,32,0.01,0.1576686798863287,4.26257008785114,12.907973863528893,3.3861204906483042
CNN,32,64,64,0.0001,-0.128825348,4.934503200425805,14.942731035000016,3.9744254114169504
CNN,32,64,64,0.001,0.13621103513257737,4.3165212588897575,13.071349547991673,3.4076810434402676
CNN,32,64,64,0.01,0.12635619270764942,4.341074706836102,13.14570263962863,3.47931816571824
