Model,Hidden,Conv1,Conv2,Dense,LR,Patience,R2,RMSE,rRMSE(%),MAE
CNN,,32.0,16.0,16.0,0.001,30,-1.0463783646013503,6.643898852346315,20.11914698349343,5.2881149715847435
CNN,,16.0,32.0,64.0,0.001,30,-1.0680888746417194,6.679049212564033,20.22558979357523,5.362448358731996
CNN,,8.0,16.0,64.0,0.001,20,-1.089258087706868,6.7131459662674065,20.32884205774477,5.321484675623262
CNN,,8.0,32.0,16.0,0.001,20,-1.1063067993632965,6.740480538849786,20.41161699091848,5.229923489653034
CNN,,8.0,32.0,32.0,0.001,20,-1.1193324571717413,6.761290392111879,20.474633678226585,5.4882479538152245
CNN,,8.0,16.0,32.0,0.001,30,-1.139740488377278,6.793766192502594,20.5729773490121,5.34902880319352
CNN,,8.0,64.0,16.0,0.001,20,-1.1535692230707295,6.815684244099376,20.63934989794272,5.425169628834038
CNN,,32.0,16.0,32.0,0.001,20,-1.1613547643005964,6.827993093479462,20.676623726966795,5.523820249141489
CNN,,16.0,32.0,32.0,0.001,30,-1.2361357686271863,6.945109997666626,21.03127876641869,5.5595601949181574
CNN,,16.0,16.0,16.0,0.001,20,-1.2798745578015587,7.012704197615988,21.235968463573336,5.706039022516321
CNN,,8.0,16.0,16.0,0.001,20,-1.293198505164268,7.033166021651486,21.29793124393312,5.630895612661731
BPNN,32.0,,,,0.001,30,-1.4631520496320443,7.289129315390287,22.073042852878128,5.7325250837537975
BPNN,32.0,,,,0.001,20,-1.6526132813766128,7.564269859912857,22.906227279581596,5.840688338495577
BPNN,16.0,,,,0.001,20,-1.8707408237134056,7.869135742091843,23.829426387533896,6.03683319601993
CNN,,8.0,16.0,16.0,0.001,30,-2.1357883414869936,8.224384668999823,24.905196132834256,6.38989324039883
BPNN,16.0,,,,0.001,30,-2.457306064213971,8.635728067130428,26.150831936690093,6.790296352449268
BPNN,8.0,,,,0.001,30,-4.021241329198767,10.407240522294158,31.515350611736082,7.972332552136708
BPNN,8.0,,,,0.001,20,-4.475798084089209,10.86810328354428,32.91094164026827,8.527219536863727
BPNN,128.0,,,,0.0001,30,-41.35797468804308,30.227180370738562,91.53436834166855,29.84699979878257
BPNN,128.0,,,,0.0001,20,-42.908248270446066,30.775357024156452,93.19436451381665,30.401947887346086
CNN,,32.0,64.0,64.0,0.0001,30,-43.746238823015794,31.067643458071977,94.07947036143968,30.715037456755777
CNN,,32.0,64.0,64.0,0.0001,20,-43.77813559430045,31.078714567163306,94.1129960480928,30.708409717114865
CNN,,32.0,64.0,32.0,0.0001,30,-45.37572811098517,31.62826834855159,95.77716245832958,31.279134935067024
BPNN,64.0,,,,0.0001,20,-45.783814726590045,31.767121187896528,96.19763855917654,31.418307896381542
CNN,,32.0,64.0,32.0,0.0001,20,-46.23828474416498,31.921045272557674,96.66375361487212,31.569806694095274
BPNN,64.0,,,,0.0001,30,-46.288374666918855,31.93796480153619,96.71498956803389,31.594339631313893
CNN,,32.0,32.0,64.0,0.0001,20,-46.653426638345366,32.061003524132296,97.08757714041965,31.72306636018763
CNN,,16.0,64.0,64.0,0.0001,30,-46.74756584812167,32.09265611041583,97.18342794278719,31.753376997608708
CNN,,16.0,64.0,64.0,0.0001,20,-46.862650513017606,32.13130886346783,97.30047674760083,31.786141176405266
CNN,,32.0,64.0,16.0,0.0001,20,-47.36322758904659,32.29889632831561,97.80796744136309,31.957606317053852
CNN,,32.0,64.0,16.0,0.0001,30,-47.41629978971266,32.316613337510745,97.86161833521723,31.973223593898517
CNN,,32.0,32.0,64.0,0.0001,30,-47.44137496602061,32.32498076631919,97.88695669960423,31.985079179943344
CNN,,8.0,64.0,64.0,0.0001,20,-47.630622277751705,32.38806168204067,98.07797920663796,32.052430544615774
CNN,,16.0,32.0,64.0,0.0001,20,-48.08609213128847,32.53937997567447,98.5362033696736,32.20213781567022
CNN,,32.0,32.0,16.0,0.0001,30,-48.09633197047659,32.54277381523764,98.54648064187886,32.20849789038239
CNN,,32.0,32.0,32.0,0.0001,20,-48.104729225858755,32.54555669420059,98.55490779469037,32.20987563822495
BPNN,32.0,,,,0.0001,20,-48.135714694843266,32.55582332554464,98.58599735063135,32.21906816410552
CNN,,16.0,64.0,32.0,0.0001,30,-48.154025633267,32.561888894672826,98.60436519149415,32.22573576981026
CNN,,16.0,64.0,32.0,0.0001,20,-48.24317495825469,32.59140382611313,98.69374271771065,32.25480485600209
CNN,,32.0,32.0,32.0,0.0001,30,-48.394748615071315,32.641524504706,98.84551885427332,32.30841768358225
CNN,,8.0,64.0,64.0,0.0001,30,-48.44465481098103,32.6580100937587,98.89544074451155,32.322738964923126
CNN,,16.0,32.0,64.0,0.0001,30,-48.485854085569436,32.6716132442801,98.93663399426761,32.34216085586835
