NIR_mean,NDVI_mean,GNDVI_std,Temp_std,Green_contrast,Green_correlation,RedEdge_contrast,Thermal_contrast,Thermal_correlation,Canopy_Volume,Canopy_COV,Canopy_LAI,Canopy_HP,Canopy_S,Canopy_K
-0.04870289167028027,-0.011048479172002235,-4.243263185288534,-0.017919944052549926,-0.09752970972166153,-0.18411877086871625,-0.1669789820844636,0.016029071087089293,-0.10954884728730287,-1.3091149581479604,-0.3071393816484567,-0.6415820527258119,-1.0346436027722479,0.16682084743525177,0.11198421357510902
-0.0474793520889807,0.009410158057266884,-4.544385905677168,-0.015110308364366595,0.05081463901837218,0.00978106137495448,0.006233535712825375,0.038665904569499664,-0.11223214672686185,-1.2828986967621843,-0.3443864337433034,-0.6527620987524756,-1.0105425877531748,0.16911901787997274,0.1437782714665824
-0.027033668168979695,0.03510253408456837,-4.293547619060766,-0.005642530001084824,-0.071298494706316,-0.0025535527059243773,-0.15128430711781624,0.038142362896363406,-0.08420448203675578,-0.4148868372128682,0.2675378773505129,-0.4254088530329356,-0.8612883699849097,0.10415516957611526,0.31750064057179556
0.006313822037147545,-0.007188330535040831,-4.237486653936759,-0.015975372340191626,0.06223987267848349,-0.007589445605651445,-0.1144636522734384,0.016873223522415406,-0.06827421502190258,-0.3924694245193171,0.2590351430169786,-0.40706412637160394,-0.8669664247151543,0.11556129233974054,0.29437251718446317
-0.028333458514339167,0.008553674737779503,-4.337028472438146,0.004216422064525472,0.021947969751179915,0.0020172229776051196,-0.023290265115113156,0.034546275291085525,-0.06971205211464833,-0.3426539668370334,0.3229368018470967,-0.46029130830980464,-0.8886697551636712,0.108477845742156,0.19983965083860758
0.018915810053869983,0.02661250631134344,-4.391390368083652,-0.003648106853036518,-0.029083403240640796,0.007183795555678908,-0.10226778222236205,0.017123292228659083,-0.030851175389144184,-0.3534181845535196,0.2965706915116675,-0.4606129899768601,-0.8806628775101524,0.11277786435397742,0.2518759467942009
-0.022446726442976905,0.03632174812432719,-4.193516345764269,0.000633556237777073,0.11709462391897203,-0.021795687808366323,0.07047159262609505,-0.04277127285462832,0.04522142705055219,0.04652152932427168,-0.06944951585731705,-0.4622099785725806,-0.8156036178427815,0.29648632275289194,-0.31279235050243703
-0.0012309932779302412,0.0011471237171828345,-4.149634527425938,-0.025546918792177187,0.105013290771424,0.0009313161814120038,0.09770918758246419,-0.06262326365467953,0.0019703627054145382,0.03590081639706854,-0.029136372483174112,-0.3938997126547427,-0.6807708825756561,0.273807753781897,-0.26774250612741934
-0.012602697679729801,0.024099451131257135,-4.0968730878890005,0.03107877113752955,0.11175460561195924,-0.014792997316089473,0.10328778655126754,-0.04227147686440776,0.05660900293938336,0.061981297426990954,-0.042694798198669164,-0.47879138274002686,-0.8383127614327772,0.29826221633031413,-0.3142284432052612
0.025969942866805727,0.030441069311645738,-4.139852032975158,-0.006815747361067499,0.07642197858783147,0.014232636118411201,0.10425371462751534,-0.053142247819904405,-0.049626617379304495,0.04457012351873995,-0.020215153079967282,-0.43908617223731156,-0.6762696548624952,0.31576406492265296,-0.232885954428189
-0.029299734615825055,-0.010603002178323584,-3.1451536395947395,-0.03535466824715815,0.032139887023495024,-0.0019582464766055778,0.053359698259208305,0.009459223411134213,-0.038991542123128324,-0.10025011003756228,0.3450261169662329,-0.521238450394921,-0.4680052371415087,0.6203143840059709,0.4276970793381375
